layers,branching factor,average error,average error %,max error,max error %,size binary search,size linear search,namespace,binary,inference,pred_time_lin,pred_time_bin,pred_time,star,front
"radix,linear",32768,113132.9609375,1.2340419999999999,2468084,1.2340419999999999,4456576,4194432,nm973867df4cd85277e158,True,22.82212,2999.3290369999995,354.03436800000003,354.03436800000003,True,True
"cubic,cubic",131072,23514.08203125,0.123517,247034,0.123517,34603264,33554688,nm9a4941ea95bcfdab8f3f,True,40.74665,3017.2535669999997,320.967949,320.967949,False,True
"bradix,cubic",16384,137028.09375,0.7145015,1429003,0.7145015,4325568,4194496,nm9ae6f80cdfa12b1ecebb,True,26.71533,3003.2222469999997,342.411404,342.411404,False,False
"loglinear,cubic",8192,307984.09375,0.7695160000000001,1539032,0.7695160000000001,2162816,2097280,nm9d225a00c4c5351f3c4a,True,35.77687,3012.283787,352.94693700000005,352.94693700000005,False,False
"cubic,linear",131072,24889.853515625,0.245839,491678,0.245839,17826048,16777472,nm9d512a66510b9ac033ad,True,34.05642,3010.5633369999996,326.692367,326.692367,False,False
"normal,cubic",65536,33400.2890625,0.1332245,266449,0.1332245,17301696,16777408,nm9e80bae83d13d3742ff0,True,45.80697,3022.313887,326.02826899999997,326.02826899999997,False,True
"radix,linear",262144,27853.1953125,0.235951,471902,0.235951,35651712,33554560,nm9e833e97d5bf305b2efb,True,25.74437,3002.2512869999996,317.091365,317.091365,True,True
"cubic,linear",256,3021061.25,3.518002,7036004,3.518002,35072,33024,nma18f68b258856a88551e,True,24.51819,3001.0251069999995,378.1005,378.1005,False,True
"loglinear,cubic",131072,38890.4609375,0.14493,289860,0.14493,34603136,33554560,nma3ac85f28b3c1deecdb0,True,45.07587,3021.582787,327.341868,327.341868,False,True
"cubic,cubic",2097152,4477.75732421875,0.031412999999999996,62826,0.031412999999999996,553648384,536871168,nma48081e6725f57da06ed,True,82.78429,3059.2912069999998,330.32454,330.32454,False,False
